,x,y,z,Name
421,4.2996674,18.584455,38.654343,The Cabin in the Woods
422,5.2071414,-67.1387,6.7842917,Glass
423,-7.479099,-31.009398,5.664855,Speed
424,18.88344,-23.700459,1.1196603,Casino
425,13.79907,-24.298584,2.3570063,The Devil's Advocate
426,-7.132355,-34.891327,-7.4179997,National Treasure
427,19.95056,-13.592294,15.983364,Love Actually
428,43.575443,1.4685062,-12.584602,Predator
429,21.12296,-56.61355,6.2073607,Baby Driver
430,-13.248084,-9.194196,-38.05559,Sleepers
431,-19.178402,-45.748726,7.5873394,Boogie Nights
432,5.9835625,-6.083548,-8.685488,The Imitation Game
433,22.69662,-13.548985,-9.020758,Burlesque
434,52.060246,36.25982,23.118233,Wonder Woman
435,49.621586,-1.1138145,1.6682923,Morbius
436,-8.682656,-39.476837,26.953312,A Time to Kill
437,28.331854,12.9893875,-33.185375,Stardust
438,-10.783027,-73.77604,0.78486216,Shrek
439,-24.256197,-55.06499,-10.154064,Legend
440,44.8674,-11.835454,-27.841324,Red Sparrow
441,18.594511,-56.466885,24.797493,The Thing
442,43.089413,-41.419643,-1.8312197,Thor: Ragnarok
443,62.22017,6.865134,13.150351,Casablanca
444,-32.678955,-39.382103,-9.610858,"Lock, Stock and Two Smoking Barrels"
445,-1.3695539,-31.294056,-9.835353,Captain America: The First Avenger
446,-32.279087,-17.907389,45.60196,The Place Beyond the Pines
447,28.356392,31.62195,-24.482256,Coherence
448,11.827743,-44.386265,49.775467,Star Trek
449,21.3847,41.832874,6.257487,Dirty Dancing
450,7.2226114,-39.739925,-13.865316,Remember the Titans
451,2.5604196,-54.36909,-0.16521548,Lost in Translation
452,-22.495848,-43.188416,-24.512276,Clue
453,42.132072,-39.510704,12.159478,Alita: Battle Angel
454,2.0319133,43.107918,48.93864,Coco
455,21.412025,-25.283468,5.2947826,Cape Fear
456,19.895876,-58.057926,15.628396,The Hunchback of Notre Dame
457,5.5764155,-40.009937,9.940145,Sky High
458,49.391792,6.7346168,-10.374001,Beast
459,0.99959093,3.801748,-5.8934836,Amadeus
460,60.472702,-7.038695,-5.3484535,Toy Story
461,-13.643964,-67.02871,14.146616,Movie 43
462,-6.8226895,-28.53105,-47.445267,The Clovehitch Killer
463,60.869556,-9.052957,-35.929054,The Empire Strikes Back
464,13.428615,-48.99282,23.766483,Charlie and the Chocolate Factory
465,17.410814,-18.457432,19.373035,The Nice Guys
466,12.722155,-0.20993592,23.274458,Office Space
467,-10.068391,-17.604305,28.411367,Brokeback Mountain
468,20.712784,34.48532,46.165604,21 Jump Street
469,3.0309448,38.555714,4.4820004,The Little Mermaid
470,40.271484,-9.881127,-6.7573404,Tomorrow Never Dies
471,0.36723927,-16.424425,29.870249,A Star Is Born
472,30.98402,-59.201527,2.7460024,About Time
473,-57.803444,-25.010298,-22.334026,House of Gucci
474,50.288593,4.4164143,-47.06799,The Maze Runner
475,0.18119307,-55.063812,9.839086,The 40 Year Old Virgin
476,33.098175,-22.556316,-11.200336,War of the Worlds
477,-43.1287,31.156225,27.953701,Romance
478,19.997763,41.521988,31.317245,Atonement
479,55.121643,-4.140833,35.631428,Basic Instinct
480,29.450281,-31.187618,-4.4750066,12 Years a Slave
481,28.605473,-52.28213,-5.6729436,Revolutionary Road
482,-26.189487,-20.605457,-7.533897,Minority Report
483,38.11945,-37.09973,18.18845,Legally Blonde
484,56.66654,0.5673156,4.6578608,Finding Nemo
485,17.53772,-31.72878,3.849171,Once Upon a Time in America
486,2.3644595,8.672093,12.257473,In Time
487,41.219772,14.26588,-16.81875,School of Rock
488,13.136241,-40.35849,-15.313404,Training Day
489,35.976246,14.439904,47.883068,The Girl Next Door
490,0.29238206,3.8734226,49.36394,The Favourite
491,-21.00042,-29.50097,50.166634,Legend
492,42.220856,4.830415,38.029785,Harry Potter and the Order of the Phoenix
493,11.875719,-21.547989,-11.799279,The Rock
494,25.718494,-23.659945,1.174289,Bridesmaids
495,-4.482097,-5.106534,31.853622,The Sound of Music
496,25.983212,-25.639206,-28.868423,Aquaman
497,10.381881,-18.006021,55.4035,Casino Royale
498,2.2952569,-27.416496,48.26425,Never Been Kissed
499,-4.193614,-51.934498,-11.62571,Constantine
500,17.783117,-18.452902,20.508158,L.A. Confidential
501,7.064269,-26.653908,-29.557184,Meet Joe Black
502,23.153646,-51.319897,-31.228909,Star Wars: Episode VIII - The Last Jedi
503,15.013053,-3.0224028,-62.203842,The Karate Kid
504,1.4190584,-21.312239,-14.610231,Official Secrets
505,53.184486,3.7834713,34.713943,Inside Out
506,34.588505,-4.977095,-44.572147,28 Days Later...
507,18.581615,-34.498127,-27.752361,Rocky V
508,-12.069157,-47.330643,-4.1701612,Grown Ups 2
